Column,ID_cost,costo_per_wp
0,39255,"0,165"
1,42528,"0,156"
2,44576,"0,149"
3,42934,"0,213"
4,25496,"0,249"
5,38504,"0,213"
6,36160,"0,165"
7,44175,"0,172"
8,44253,"0,218"
9,36678,"0,178"
10,41966,"0,171"
11,43780,"0,16"
12,44249,"0,185"
13,37968,"0,205"
14,18603,"0,138"
15,35969,"0,159"
16,42800,"0,195"
17,34027,"0,24"
18,42601,"0,213"
19,42687,"0,191"
20,42823,"0,218"
21,43592,"0,195"
22,42674,"0,169"
23,37759,"0,158"
24,37939,"0,152"
25,31365,"0,198"
26,44278,"0,157"
27,34111,"0,189"
28,38186,"0,205"
29,39443,"0,245"
30,44384,"0,176"
31,44354,"0,157"
32,29523,"0,151"
33,42923,"0,158"
34,39700,"0,168"
35,44838,"0,156"
36,42524,"0,156"
37,43721,"0,163"
38,42931,"0,213"
39,41343,"0,201"
40,38497,"0,213"
41,43515,"0,196"
42,44177,"0,172"
43,42473,"0,196"
44,43358,"0,205"
45,40745,"0,16"
46,43791,"0,165"
47,44240,"0,169"
48,18595,"0,16"
49,43715,"0,165"
50,43228,"0,2"
51,42802,"0,17"
52,29296,"0,0234"
53,42599,"0,213"
54,43713,"0,2"
55,42821,"0,218"
56,43594,"0,195"
57,42672,"0,156"
58,32648,"0,147"
59,37614,"0,153"
60,31366,"0,211"
61,44504,"0,16"
62,39441,"0,209"
63,44669,"0,184"
64,43347,"0,171"
65,38007,"0,151"
66,42920,"0,165"
67,41734,"0,187"
68,44852,"0,178"
69,42526,"0,147"
70,43296,"0,163"
71,43178,"0,205"
72,25550,"0,311"
73,38493,"0,196"
74,43558,"0,196"
75,44178,"0,182"
76,42506,"0,196"
77,38002,"0,196"
78,43779,"0,16"
79,44250,"0,195"
80,18601,"0,138"
81,40280,"0,227"
82,42801,"0,189"
83,42600,"0,196"
84,42686,"0,2"
85,43307,"0,205"
86,43593,"0,195"
87,44257,"0,173"
88,32649,"0,147"
89,31364,"0,205"
90,43619,"0,157"
91,44385,"0,174"
92,43813,"0,171"
93,39843,"0,178"
94,42919,"0,169"
95,39701,"0,169"
